Año,Trimestre,Banda ancha fija,Dial up,Total,Id_Provincia,Año-Trimestre
2021,1,96989,116,97105,11,20211
2021,1,52625,3,52628,12,20211
2021,1,218308,615,218923,13,20211
2021,1,149387,0,149387,14,20211
2021,1,132862,373,133235,15,20211
2021,1,140667,501,141168,16,20211
2021,1,187572,2,187574,17,20211
2021,1,78011,256,78267,18,20211
2021,1,119006,148,119154,19,20211
2021,1,45868,197,46065,20,20211
2021,1,825990,137,826127,21,20211
2021,1,111640,1,111641,22,20211
2021,1,40133,289,40422,23,20211
2021,1,231890,22,231912,24,20211
2020,4,4028195,5066,4033261,2,20204
2020,4,1378140,1390,1379530,1,20204
2020,4,52395,1,52396,3,20204
2020,4,139088,3,139091,4,20204
2020,4,129749,825,130574,5,20204
2020,4,902646,55,902701,6,20204
2020,4,125656,3,125659,7,20204
2020,4,247368,13,247381,8,20204
2020,4,50206,0,50206,9,20204
2020,4,105851,0,105851,10,20204
2020,4,96779,116,96895,11,20204
2020,4,52775,3,52778,12,20204
2020,4,214838,615,215453,13,20204
2020,4,147161,0,147161,14,20204
2020,4,132762,373,133135,15,20204
2020,4,140709,501,141210,16,20204
2020,4,187388,2,187390,17,20204
2020,4,72340,256,72596,18,20204
2020,4,119287,148,119435,19,20204
2020,4,40477,197,40674,20,20204
2020,4,820676,137,820813,21,20204
2020,4,106668,1,106669,22,20204
2020,4,39325,289,39614,23,20204
2020,4,231067,22,231089,24,20204
2020,3,3932211,5066,3937277,2,20203
2020,3,1371285,1390,1372675,1,20203
2020,3,49903,1,49904,3,20203
2020,3,133951,3,133954,4,20203
2020,3,129202,825,130027,5,20203
2020,3,867417,55,867472,6,20203
2020,3,123388,3,123391,7,20203
2020,3,241482,13,241495,8,20203
2020,3,49209,0,49209,9,20203
2020,3,106728,0,106728,10,20203
2020,3,93619,116,93735,11,20203
2020,3,52613,3,52616,12,20203
2020,3,207173,615,207788,13,20203
2020,3,143186,0,143186,14,20203
2020,3,128862,373,129235,15,20203
2020,3,130966,501,131467,16,20203
2020,3,180844,2,180846,17,20203
2020,3,77071,256,77327,18,20203
2020,3,116417,148,116565,19,20203
2020,3,39084,197,39281,20,20203
2020,3,802861,137,802998,21,20203
2020,3,105491,1,105492,22,20203
2020,3,39366,289,39655,23,20203
2020,3,223854,22,223876,24,20203
2020,2,3772480,5066,3777546,2,20202
2020,2,1356431,1390,1357821,1,20202
2020,2,47975,1,47976,3,20202
2020,2,128129,3,128132,4,20202
2020,2,107831,825,108656,5,20202
2020,2,836413,55,836468,6,20202
2020,2,118863,3,118866,7,20202
2020,2,234100,13,234113,8,20202
2020,2,47932,0,47932,9,20202
2020,2,94316,0,94316,10,20202
2020,2,89693,116,89809,11,20202
2020,2,52152,3,52155,12,20202
2020,2,200569,615,201184,13,20202
2020,2,140340,0,140340,14,20202
2020,2,125799,373,126172,15,20202
2020,2,128985,501,129486,16,20202
2020,2,177760,2,177762,17,20202
2020,2,69521,256,69777,18,20202
2020,2,113804,148,113952,19,20202
2020,2,38672,197,38869,20,20202
2020,2,777795,137,777932,21,20202
2020,2,105446,1,105447,22,20202
2020,2,38900,289,39189,23,20202
2020,2,217134,22,217156,24,20202
2020,1,3702985,5066,3708051,2,20201
2020,1,1352104,1390,1353494,1,20201
2020,1,39634,1,39635,3,20201
2020,1,120274,3,120277,4,20201
2020,1,95938,800,96738,5,20201
2020,1,811044,55,811099,6,20201
2020,1,113967,3,113970,7,20201
2020,1,231833,13,231846,8,20201
2020,1,46434,0,46434,9,20201
2020,1,91665,0,91665,10,20201
2020,1,89110,116,89226,11,20201
2020,1,48337,3,48340,12,20201
2020,1,182837,615,183452,13,20201
2020,1,133552,0,133552,14,20201
2020,1,121354,373,121727,15,20201
2020,1,125699,501,126200,16,20201
2020,1,170379,2,170381,17,20201
2020,1,63975,256,64231,18,20201
2020,1,110404,148,110552,19,20201
2020,1,38625,197,38822,20,20201
2020,1,770981,137,771118,21,20201
2020,1,102754,1,102755,22,20201
2020,1,38505,289,38794,23,20201
2020,1,200045,22,200067,24,20201
2019,4,3681120,5134,3686254,2,20194
2019,4,1356695,1410,1358105,1,20194
2019,4,38310,1,38311,3,20194
2019,4,117900,3,117903,4,20194
2019,4,95292,810,96102,5,20194
2019,4,806633,55,806688,6,20194
2019,4,113831,3,113834,7,20194
2019,4,239017,13,239030,8,20194
2019,4,46711,0,46711,9,20194
2019,4,88881,0,88881,10,20194
2019,4,90280,119,90399,11,20194
2019,4,48999,3,49002,12,20194
2019,4,185157,623,185780,13,20194
2019,4,135813,0,135813,14,20194
2019,4,116069,376,116445,15,20194
2019,4,126636,504,127140,16,20194
2019,4,172443,2,172445,17,20194
2019,4,64715,259,64974,18,20194
2019,4,108053,148,108201,19,20194
2019,4,39170,200,39370,20,20194
2019,4,769019,150,769169,21,20194
2019,4,103587,1,103588,22,20194
2019,4,40101,291,40392,23,20194
2019,4,198621,23,198644,24,20194
2019,3,3950114,10119,3960233,2,20193
2019,3,1437734,3477,1441211,1,20193
2019,3,32391,9,32400,3,20193
2019,3,114438,13,114451,4,20193
2019,3,87481,1524,89005,5,20193
2019,3,782946,107,783053,6,20193
2019,3,112749,10,112759,7,20193
2019,3,238057,45,238102,8,20193
2019,3,46066,0,46066,9,20193
2019,3,86575,1,86576,10,20193
2019,3,90559,269,90828,11,20193
2019,3,49659,18,49677,12,20193
2019,3,223015,1322,224337,13,20193
2019,3,133883,0,133883,14,20193
2019,3,123435,1986,125421,15,20193
2019,3,143391,904,144295,16,20193
2019,3,151834,1,151835,17,20193
2019,3,72535,563,73098,18,20193
2019,3,122409,291,122700,19,20193
2019,3,37642,328,37970,20,20193
2019,3,760706,228,760934,21,20193
2019,3,133130,2,133132,22,20193
2019,3,48043,544,48587,23,20193
2019,3,164099,32,164131,24,20193
2019,2,3845594,10104,3855698,2,20192
2019,2,1412177,3443,1415620,1,20192
2019,2,33626,9,33635,3,20192
2019,2,108721,13,108734,4,20192
2019,2,86038,1518,87556,5,20192
2019,2,775023,105,775128,6,20192
2019,2,111539,10,111549,7,20192
2019,2,235780,44,235824,8,20192
2019,2,46438,0,46438,9,20192
2019,2,86706,1,86707,10,20192
2019,2,89937,268,90205,11,20192
2019,2,50283,18,50301,12,20192
2019,2,222535,1322,223857,13,20192
2019,2,132878,0,132878,14,20192
2019,2,120954,1999,122953,15,20192
2019,2,137632,915,138547,16,20192
2019,2,142567,1,142568,17,20192
2019,2,69461,564,70025,18,20192
2019,2,117094,291,117385,19,20192
2019,2,30225,325,30550,20,20192
2019,2,743258,226,743484,21,20192
2019,2,126752,2,126754,22,20192
2019,2,46910,544,47454,23,20192
2019,2,166299,32,166331,24,20192
2019,1,3736563,10104,3746667,2,20191
2019,1,1396157,3443,1399600,1,20191
2019,1,33613,9,33622,3,20191
2019,1,103664,13,103677,4,20191
2019,1,78260,1518,79778,5,20191
2019,1,744010,105,744115,6,20191
2019,1,102477,10,102487,7,20191
2019,1,232403,44,232447,8,20191
2019,1,45211,0,45211,9,20191
2019,1,90146,1,90147,10,20191
2019,1,88892,268,89160,11,20191
2019,1,51638,18,51656,12,20191
2019,1,204976,1322,206298,13,20191
2019,1,122720,0,122720,14,20191
2019,1,112321,2056,114377,15,20191
2019,1,120173,915,121088,16,20191
2019,1,136019,1,136020,17,20191
2019,1,61881,564,62445,18,20191
2019,1,96044,291,96335,19,20191
2019,1,24580,325,24905,20,20191
2019,1,736851,227,737078,21,20191
2019,1,89851,2,89853,22,20191
2019,1,45903,544,46447,23,20191
2019,1,171970,32,172002,24,20191
2018,4,3626502,10104,3636606,2,20184
2018,4,1385577,3443,1389020,1,20184
2018,4,33574,9,33583,3,20184
2018,4,103257,13,103270,4,20184
2018,4,77204,1518,78722,5,20184
2018,4,737234,105,737339,6,20184
2018,4,100591,10,100601,7,20184
2018,4,222003,44,222047,8,20184
2018,4,45204,0,45204,9,20184
2018,4,90132,1,90133,10,20184
2018,4,85368,268,85636,11,20184
2018,4,51633,18,51651,12,20184
2018,4,204982,1322,206304,13,20184
2018,4,116273,0,116273,14,20184
2018,4,112309,2056,114365,15,20184
2018,4,115922,915,116837,16,20184
2018,4,134577,1,134578,17,20184
2018,4,61834,564,62398,18,20184
2018,4,96040,291,96331,19,20184
2018,4,24443,325,24768,20,20184
2018,4,720161,229,720390,21,20184
2018,4,89333,2,89335,22,20184
2018,4,45716,544,46260,23,20184
2018,4,171972,32,172004,24,20184
2018,3,3599714,10563,3610277,2,20183
2018,3,1385804,6686,1392490,1,20183
2018,3,34215,11,34226,3,20183
2018,3,102021,12,102033,4,20183
2018,3,101310,2426,103736,5,20183
2018,3,725764,94,725858,6,20183
2018,3,99445,11,99456,7,20183
2018,3,204560,48,204608,8,20183
2018,3,44865,0,44865,9,20183
2018,3,44934,1,44935,10,20183
2018,3,83180,244,83424,11,20183
2018,3,51855,17,51872,12,20183
2018,3,205545,1484,207029,13,20183
2018,3,108042,0,108042,14,20183
2018,3,114713,2005,116718,15,20183
2018,3,112433,1059,113492,16,20183
2018,3,132882,1,132883,17,20183
2018,3,63823,658,64481,18,20183
2018,3,74121,300,74421,19,20183
2018,3,33565,434,33999,20,20183
2018,3,694883,217,695100,21,20183
2018,3,86358,2,86360,22,20183
2018,3,45056,508,45564,23,20183
2018,3,171135,31,171166,24,20183
2018,2,3490134,10565,3500699,2,20182
2018,2,1362498,6688,1369186,1,20182
2018,2,34078,11,34089,3,20182
2018,2,98509,12,98521,4,20182
2018,2,98137,2427,100564,5,20182
2018,2,712979,94,713073,6,20182
2018,2,97946,11,97957,7,20182
2018,2,199937,48,199985,8,20182
2018,2,44554,0,44554,9,20182
2018,2,45132,1,45133,10,20182
2018,2,82177,244,82421,11,20182
2018,2,51931,17,51948,12,20182
2018,2,199468,1484,200952,13,20182
2018,2,106147,0,106147,14,20182
2018,2,113842,2006,115848,15,20182
2018,2,111176,1059,112235,16,20182
2018,2,134166,1,134167,17,20182
2018,2,63443,658,64101,18,20182
2018,2,21168,300,21468,19,20182
2018,2,33970,435,34405,20,20182
2018,2,684243,309,684552,21,20182
2018,2,83773,2,83775,22,20182
2018,2,44199,508,44707,23,20182
2018,2,169926,31,169957,24,20182
2018,1,3464882,10564,3475446,2,20181
2018,1,1359882,6688,1366570,1,20181
2018,1,33934,11,33945,3,20181
2018,1,96925,12,96937,4,20181
2018,1,95532,2427,97959,5,20181
2018,1,713825,101,713926,6,20181
2018,1,94406,11,94417,7,20181
2018,1,197346,48,197394,8,20181
2018,1,32328,0,32328,9,20181
2018,1,44405,1,44406,10,20181
2018,1,82668,396,83064,11,20181
2018,1,52228,17,52245,12,20181
2018,1,199463,1484,200947,13,20181
2018,1,103580,0,103580,14,20181
2018,1,115897,2006,117903,15,20181
2018,1,110057,1062,111119,16,20181
2018,1,133182,1,133183,17,20181
